time,delta_theta_avg
3.294300000000e0,6.705305300420e-4
3.294400000000e0,6.707911240046e-4
3.294500000000e0,6.710512977577e-4
3.294600000000e0,6.713110506629e-4
3.294700000000e0,6.715703820863e-4
3.294800000000e0,6.718292913959e-4
3.294900000000e0,6.720877779608e-4
3.295000000000e0,6.723458411537e-4
3.295100000000e0,6.726034803488e-4
3.295200000000e0,6.728606949221e-4
3.295300000000e0,6.731174842512e-4
3.295400000000e0,6.733738477165e-4
3.295500000000e0,6.736297847016e-4
3.295600000000e0,6.738852945909e-4
3.295700000000e0,6.741403767705e-4
3.295800000000e0,6.743950306306e-4
3.295900000000e0,6.746492555605e-4
3.296000000000e0,6.749030509549e-4
3.296100000000e0,6.751564162087e-4
3.296200000000e0,6.754093507204e-4
3.296300000000e0,6.756618538888e-4
3.296400000000e0,6.759139251166e-4
3.296500000000e0,6.761655638073e-4
3.296600000000e0,6.764167693688e-4
3.296700000000e0,6.766675412086e-4
3.296800000000e0,6.769178787380e-4
3.296900000000e0,6.771677813698e-4
3.297000000000e0,6.774172485196e-4
3.297100000000e0,6.776662796052e-4
3.297200000000e0,6.779148740464e-4
3.297300000000e0,6.781630312663e-4
3.297400000000e0,6.784107506881e-4
3.297500000000e0,6.786580317384e-4
3.297600000000e0,6.789048738465e-4
3.297700000000e0,6.791512764439e-4
3.297800000000e0,6.793972389631e-4
3.297900000000e0,6.796427608404e-4
3.298000000000e0,6.798878415150e-4
3.298100000000e0,6.801324804257e-4
3.298200000000e0,6.803766770161e-4
3.298300000000e0,6.806204307316e-4
3.298400000000e0,6.808637410190e-4
3.298500000000e0,6.811066073276e-4
3.298600000000e0,6.813490291112e-4
3.298700000000e0,6.815910058229e-4
3.298800000000e0,6.818325369201e-4
3.298900000000e0,6.820736218608e-4
3.299000000000e0,6.823142601082e-4
3.299100000000e0,6.825544511238e-4
3.299200000000e0,6.827941943757e-4
3.299300000000e0,6.830334893320e-4
3.299400000000e0,6.832723354639e-4
3.299500000000e0,6.835107322448e-4
3.299600000000e0,6.837486791508e-4
3.299700000000e0,6.839861756595e-4
3.299800000000e0,6.842232212511e-4
3.299900000000e0,6.844598154090e-4
3.300000000000e0,6.846959576197e-4
3.300100000000e0,6.849316473699e-4
3.300200000000e0,6.851668841499e-4
3.300300000000e0,6.854016674542e-4
3.300400000000e0,6.856359967761e-4
3.300500000000e0,6.858698716145e-4
3.300600000000e0,6.861032914697e-4
3.300700000000e0,6.863362558441e-4
3.300800000000e0,6.865687642420e-4
3.300900000000e0,6.868008161719e-4
3.301000000000e0,6.870324111433e-4
3.301100000000e0,6.872635486685e-4
3.301200000000e0,6.874942282632e-4
3.301300000000e0,6.877244494439e-4
3.301400000000e0,6.879542117326e-4
3.301500000000e0,6.881835146514e-4
3.301600000000e0,6.884123577243e-4
3.301700000000e0,6.886407404788e-4
3.301800000000e0,6.888686624454e-4
3.301900000000e0,6.890961231580e-4
3.302000000000e0,6.893231221500e-4
3.302100000000e0,6.895496589606e-4
3.302200000000e0,6.897757331295e-4
3.302300000000e0,6.900013441998e-4
3.302400000000e0,6.902264917164e-4
3.302500000000e0,6.904511752272e-4
3.302600000000e0,6.906753942839e-4
3.302700000000e0,6.908991484392e-4
3.302800000000e0,6.911224372486e-4
3.302900000000e0,6.913452602705e-4
3.303000000000e0,6.915676170646e-4
3.303100000000e0,6.917895071968e-4
3.303200000000e0,6.920109302314e-4
3.303300000000e0,6.922318857373e-4
3.303400000000e0,6.924523732863e-4
3.303500000000e0,6.926723924524e-4
3.303600000000e0,6.928919428116e-4
3.303700000000e0,6.931110239440e-4
3.303800000000e0,6.933296354308e-4
3.303900000000e0,6.935477768573e-4
3.304000000000e0,6.937654478092e-4
3.304100000000e0,6.939826478767e-4
3.304200000000e0,6.941993766523e-4
3.304300000000e0,6.944156337326e-4
3.304400000000e0,6.946314187132e-4
3.304500000000e0,6.948467311955e-4
3.304600000000e0,6.950615707822e-4
3.304700000000e0,6.952759370794e-4
3.304800000000e0,6.954898296955e-4
3.304900000000e0,6.957032482412e-4
3.305000000000e0,6.959161923313e-4
3.305100000000e0,6.961286615803e-4
3.305200000000e0,6.963406556081e-4
3.305300000000e0,6.965521740377e-4
3.305400000000e0,6.967632164925e-4
3.305500000000e0,6.969737826018e-4
3.305600000000e0,6.971838719940e-4
3.305700000000e0,6.973934843023e-4
3.305800000000e0,6.976026191613e-4
3.305900000000e0,6.978112762100e-4
3.306000000000e0,6.980194550883e-4
3.306100000000e0,6.982271554411e-4
3.306200000000e0,6.984343769145e-4
3.306300000000e0,6.986411191575e-4
3.306400000000e0,6.988473818236e-4
3.306500000000e0,6.990531645656e-4
3.306600000000e0,6.992584670411e-4
3.306700000000e0,6.994632889105e-4
3.306800000000e0,6.996676298363e-4
3.306900000000e0,6.998714894844e-4
3.307000000000e0,7.000748675245e-4
3.307100000000e0,7.002777636266e-4
3.307200000000e0,7.004801774655e-4
3.307300000000e0,7.006821087189e-4
3.307400000000e0,7.008835570646e-4
3.307500000000e0,7.010845221850e-4
3.307600000000e0,7.012850037660e-4
3.307700000000e0,7.014850014959e-4
3.307800000000e0,7.016845150651e-4
3.307900000000e0,7.018835441674e-4
3.308000000000e0,7.020820884997e-4
3.308100000000e0,7.022801477602e-4
3.308200000000e0,7.024777216521e-4
3.308300000000e0,7.026748098803e-4
3.308400000000e0,7.028714121508e-4
3.308500000000e0,7.030675281766e-4
3.308600000000e0,7.032631576699e-4
3.308700000000e0,7.034583003464e-4
3.308800000000e0,7.036529559258e-4
3.308900000000e0,7.038471241300e-4
3.309000000000e0,7.040408046834e-4
3.309100000000e0,7.042339973141e-4
3.309200000000e0,7.044267017525e-4
3.309300000000e0,7.046189177318e-4
3.309400000000e0,7.048106449883e-4
3.309500000000e0,7.050018832609e-4
3.309600000000e0,7.051926322921e-4
3.309700000000e0,7.053828918261e-4
3.309800000000e0,7.055726616106e-4
3.309900000000e0,7.057619413963e-4
3.310000000000e0,7.059507309364e-4
3.310100000000e0,7.061390299876e-4
3.310200000000e0,7.063268383086e-4
3.310300000000e0,7.065141556612e-4
3.310400000000e0,7.067009818107e-4
3.310500000000e0,7.068873165249e-4
3.310600000000e0,7.070731595746e-4
3.310700000000e0,7.072585107334e-4
3.310800000000e0,7.074433697781e-4
3.310900000000e0,7.076277364877e-4
3.311000000000e0,7.078116106449e-4
3.311100000000e0,7.079949920350e-4
3.311200000000e0,7.081778804454e-4
3.311300000000e0,7.083602756685e-4
3.311400000000e0,7.085421774972e-4
3.311500000000e0,7.087235857289e-4
3.311600000000e0,7.089045001630e-4
3.311700000000e0,7.090849206023e-4
3.311800000000e0,7.092648468522e-4
3.311900000000e0,7.094442787225e-4
3.312000000000e0,7.096232160244e-4
3.312100000000e0,7.098016585712e-4
